tradingsymbol,symboltoken,ltp
PVR-EQ,13147,1771
RAMCOCEM-EQ,2043,807
SIEMENS-EQ,3150,2374.7
SUNPHARMA-EQ,3351,941
TATACOMM-EQ,3721,1239
TATACONSUM-EQ,3432,818
TATASTEEL-EQ,3499,1301.6
TCS-EQ,11536,3581.1
TITAN-EQ,3506,2515
TORNTPHARM-EQ,3518,2820
TORNTPOWER-EQ,13786,554.85
TRENT-EQ,1964,1283
UPL-EQ,11287,828.9
WIPRO-EQ,3787,535
ABB-EQ,13,2140.2
AFFLE-EQ,11343,1213
AAVAS-EQ,5385,2405.45
ACCELYA-EQ,7053,945
ALKYLAMINE-EQ,4487,3198
ADANIGREEN-EQ,3563,2830
TEAMLEASE-EQ,12716,3980
TCIEXP-EQ,19223,1854.7
VSTTILLERS-EQ,24292,2584
ANGELONE-EQ,324,1910
ASTRAZEN-EQ,5610,2726.05
ANURAS-EQ,2829,854
AMBER-EQ,1185,3645.2
BASF-EQ,368,2671
CDSL-EQ,21174,1440
BAJAJ-AUTO-EQ,16669,3670
INTELLECT-EQ,5926,842
IFBAGRO-EQ,1482,680
INDIAMART-EQ,10726,4779.75
HLEGLAS-EQ,2289,5232
GLOBUSSPR-EQ,17424,1410
ENDURANCE-EQ,18822,1170.9
